First Author,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",University,Region,Degree area,Lab Size,Highest Degree,Other Jornals Published in,Publications,Career Years,Publication Rate,event_cnt,fatality_cnt,injury_cnt,World Rank,Teaching,Research
Whitney M. Amyot,"Whitney M. Amyot, Dennise deJesus, and Ralph R. Isberg ",Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System,"Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13",10.1128/IAI.00552-13,2013,IAI,,1.0,,,"duplicated gel panels, exact duplicate",1,10/1/2014,,1.0,,1,Tufts University,USA,Molecular Biology and Microbiology,,,"Atypon, Europe PubMed Central, PubMed Central",3.0,3.0,1.0,2992.0,96.0,50.0,87,52.6,36.4
Wulamu Mamuti,"Wulamu Mamuti, Hiroshi Yamasaki, Yasuhito Sako, Minoru Nakao, Ning Xiao, Kazuhiro Nakaya, Naoki Sato, Dominique A. Vuitton, Renaud Piarroux, Marshall W. Lightowlers, Philip S. Craig, and Akira Ito","Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis","J. Clin. Microbiol. 2004, 42(3):1082",10.1128/JCM.42.3.1082-1088.2004,2004,JCM,,1.0,,,duplication of whole panel?,1,,,,1.0,1,Xinjiang Medical University,,Parasitology,,,"Atypon, Europe PubMed Central, PubMed Central",23.0,16.0,1.44,,,,,,
Xianqiong Zou,"Xianqiong Zou, Brent S. Sorenson, Karen F. Ross, and Mark C. Herzberg",Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,"Infect. Immun. 2013, 81(11):3975",10.1128/IAI.00539-13,2013,IAI,,1.0,,,"duplicated actin blot panels, exact",1,3/1/2015,,1.0,,1,University of Minnesota,USA,Diagnostic and Biological Sciences,,PhD,"Atypon, Europe PubMed Central, PubMed Central",35.0,18.0,1.94,2992.0,96.0,50.0,47,66.1,74.0
Xiaomei Ge,"Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang",Stac3 Inhibits Myoblast Differentiation into Myotubes,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.1371/journal.pone.0095926,2014,04April,,1.0,,,Duplicated microscopy images,1,8/7/2014,,1.0,,1,Virginia Tech,USA,Animal and Poultry Sciences,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",16.0,14.0,1.14,2992.0,96.0,50.0,,,
Xiaoyan Xiao,"Xiaoyan Xiao, Bin Ma, Baojun Dong, Peng Zhao, Ningwen Tai, Li Chen, F. Susan Wong, Li Wen",Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice,Journal of Autoimmunity 32 (2009) 85�93,10.1016/j.jaut.2008.12.003,2009,,,,1.0,,Overlapping microscopy images,1,,,,1.0,1,Yale University,USA,Internal Medicine,,Ph.D.,"ClinicalKey, Elsevier Science",53.0,14.0,3.79,2992.0,96.0,50.0,11,93.2,92.5
Xiucai Xu,"Xiucai Xu, Tingting Liu, Aimei Zhang, Xingxing Huo, Qingli Luo, Zhaowu Chen, Li Yu, Qing Li, Lili Liu, Zhao-rong Lun, and Jilong Shen","Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice","Infect. Immun. 2012, 80(6):2121",10.1128/IAI.06295-11,2013,IAI,,,,1,"duplicated FACS plots, one pair exact, other possibly altered, duplicated blot panels, flipped",1,4/1/2015,1.0,,,1,ChinaCentral Laboratory of Affiliated Provincial Hospital of Anhui Medical University,China,Pathogen Biology and Zoonoses,,,"Atypon, Europe PubMed Central, PubMed Central",43.0,20.0,2.15,426.0,4945.0,318.0,,,
Xudong Shi,"Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent",TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",10.1371/journal.pone.0093995,2014,04April,,1.0,,,Duplicated blot panels,1,7/22/2014,,1.0,,1,University of Wisconsin Hospital and Clinics,USA,Surgery,,"MD, PhD","Europe PubMed Central, PubMed Central, Public Library of Science",75.0,20.0,3.75,2992.0,96.0,50.0,,,
YUKI FUJISE,"YUKI FUJISE, JUN-ICHI OKANO, TAKAKAZU NAGAHARA, RYO ABE, RYU IMAMOTO, and YOSHIKAZU MURAWAKI",Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,"INTERNATIONAL JOURNAL OF ONCOLOGY 40: 1779-1788, 2012",10.3892/ijo.2012.1343,2012,,,1.0,,,Duplicated microscopy images,1,6/15/2016,,1.0,,1,Tottori University,Japan,Medicine,,PhD,"Ingenta plc, Spandidos Publications",27.0,8.0,3.38,82.0,223.0,10.0,,,
Ya-min Zhang,"Ya-min Zhang, Hong Xu, Hua Sun, Su-hui Chen, and Fu-ming Wang",Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340",10.1155/2014/989340,2014,,,,1.0,,overlapping microscopy images,1,11/11/2015,,1.0,,1,Peking Union Medical College Hospital,China,Traditional Chinese Medicine,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",42.0,16.0,2.62,426.0,4945.0,318.0,,,
Yael Friedman-Levi,"Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon ","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1371/journal.pone.0069583,2013,07July,,,,1,"possible duplicated lanes within same blot, patch in other blot",1,7/20/2015,,1.0,,1,Hadassah University Hospital,Israel,Neurology,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",22.0,15.0,1.47,2.0,2.0,0.0,,,
Yan Zhang,"Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu",Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592",10.1371/journal.pone.0069592,2013,07July,,,1.0,,two sets of duplicated facs panels but different percentages gated points,1,01/26/2015,,1.0,,1,Second Military Medical University,China,Pharmacy,,,"Europe PubMed Central, PubMed Central, Public Library of Science",12923.0,27.0,478.63,426.0,4945.0,318.0,,,
Yang Liu,"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1371/journal.pone.0098448,2014,06June,,,1.0,,Overlapping microscopy images,1,8/7/2015,,1.0,,1,Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences,China,Radiation Medicine,,,"Europe PubMed Central, PubMed Central, Public Library of Science",15550.0,26.0,598.08,426.0,4945.0,318.0,,,
Yang Wang,"Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang",Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1371/journal.pone.0063581,2013,05May,,,1.0,,part of blot panel reused to represent different protein,1,,,1.0,,1,Peking University,China,Thoracic Surgery,,,"Europe PubMed Central, PubMed Central, Public Library of Science",6776.0,29.0,233.66,426.0,4945.0,318.0,46,81.5,67.9
Yanping Yang,"Yanping Yang, Ying Xu, Wei Li, Guanjun Wang, Yanqiu Song, Guozi Yang, Xue Han, Zhonghua Du, Luguo Sun, Kewei Ma",STAT3 induces muscle stem cell differentiation by interaction with myoD,Cytokine 46 (2009) 137�141,10.1016/j.cyto.2008.12.015,2009,,,,1.0,,"Overlapping blots, two cases",1,,,,1.0,1,Jilin University,China,Hematology and Oncology,,,Elsevier Science,234.0,19.0,12.32,426.0,4945.0,318.0,,,
Ye Zeng,"Ye Zeng, Hu-Rong Sun, Chang Yu, Yi Lai, Xiao-Jing Liu, Jiang Wu, Huai-Qing Chen, Xiao-Heng Liu",CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Cytokine 53 (2011) 42�51,10.1016/j.cyto.2010.09.007,2011,,,,,1,"Duplication, stretching, what not, the lot",1,,,,1.0,1,Sichuan University,China,Biomedical Enigeering,,Ph.D.,Elsevier Science,158.0,23.0,6.87,426.0,4945.0,318.0,,,
Yi Fang Lee,"Yi Fang Lee, Lance David Miller, Xiu Bin Chan, Michael A Black, Brendan Pang, Chee Wee Ong, Manuel Salto-Tellez, Edison T Liu, and Kartiki V Desai",JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,"Breast Cancer Research 2012, 14:R85",10.1186/bcr3200,2012,,,1.0,,,"duplicated blots, different exposure?",1,3/28/2017,,1.0,,1,Genome Institute of Singapore,Singapore,Cancer Biology and Pharmacology,,PhD,"BioMed Central, Europe PubMed Central, PubMed Central",37.0,15.0,2.47,1.0,0.0,0.0,,,
Ying-Yi Chen,"Ying-Yi Chen, Fon-Chang Liu, Pei-Yu Chou, Yi-Chung Chien, Wun-Shaing Wayne Chang, Guang-Jhong Huang, Chieh-Hsi Wu, and Ming-Jyh Sheu","Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways","Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415",10.1155/2012/378415,2012,,,1.0,,,Duplicated 0h microscopy images,1,12/2/2012,,1.0,,1,China Medical University,Taiwan,Pharmacy,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",68.0,15.0,4.53,68.0,540.0,19.0,,,
Yong-Duk Park,"Yong-Duk Park, Young-Suk Kim, Yu-Mi Jung, Sang-Im Lee, Young-Man Lee, Jae-Beum Bang, Eun-Cheol Kim",Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,Cytokine 60 (2012) 284�293,10.1016/j.cyto.2012.05.021,2012,,,,,1,"Multiple, multiple cases of duplicated lanes within blots/gels",1,,,,1.0,1,Kyung Hee University,Korea,Preventive and Social Dentistry,,Ph.D.,Elsevier Science,41.0,14.0,2.93,11.0,90.0,3.0,,,
Young-Man Lee,"Young-Man Lee, Q-Schick Auh, Deok-Won Lee, Jun-Yeol Kim, Ha-Jin Jung, Seung-Ho Lee, and Eun-Cheol Kim",Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,"BioMed Research International Volume 2013, Article ID 210604",10.1155/2013/210604,2013,,1.0,1.0,,George Perry,"Several cuts, reused blot panel",1,7/1/2014,,1.0,,1,Kyung Hee University,Korea,Maxillofacial Tissue Regeneration,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",39.0,38.0,1.03,11.0,90.0,3.0,,,
Yuan Du,"Yuan Du, Tomomi Hashizume, Tomoko Kurita-Ochiai, Satoshi Yuzawa, Yoshimitsu Abiko, and Masafumi Yamamoto",Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,"Infect. Immun. Feb. 2011, p. 895�904 Vol. 79, No. 2",10.1128/IAI.01203-10,2011,IAI,,1.0,,,"Duplicated FACS plots, multiple cases",1,10/15/2015,,1.0,,1,JapanStomatology College of Tianjin Medical University,China,Microbiology and Immunology,,,"Atypon, Europe PubMed Central, PubMed Central",145.0,17.0,8.53,426.0,4945.0,318.0,,,
Yue Wang,"Yue Wang, Ye Qu, Xiu Long Niu, Wei Jia Sun, Xiao Lei Zhang, Ling Zhi Li",Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Cytokine 56 (2011) 365�375,10.1016/j.cyto.2011.06.005,2011,,,,,1,Duplicated bands in different order,1,,,,1.0,1,Medical College of Chinese People's Armed Police Forces,China,Immunology,,,Elsevier Science,4684.0,26.0,180.15,426.0,4945.0,318.0,,,
Yun Sun,"Yun Sun, Wen-Jiang Zheng, Yong-Hua Hu, Bo-Guang Sun, and Li Sun","Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection","Infect. Immun. 2012, 80(8):2948",10.1128/IAI.00063-12,2012,IAI,,,1.0,,"very similar negative microscopy images, very similar cell grouping in other image",1,,,,1.0,1,ChinaGraduate University of the Chinese Academy of Sciences,China,Experimental Marine Biology,,PhD,"Atypon, Europe PubMed Central, PubMed Central",741.0,20.0,37.05,426.0,4945.0,318.0,,,
Yuri Churin,"Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb",Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1371/journal.pone.0090608,2014,03March,1.0,1.0,,,"Duplicated actin blot panel but different experiments, cuts in panels",1,5/1/2015,,1.0,,1,Justus Liebig University,Germany,Gastroenterology,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",31.0,19.0,1.63,3.0,1.0,10.0,,,
Yushen Jiang,"Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang",Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1371/journal.pone.0093563,2014,04April,,1.0,,,Duplicated gel panels,1,5/6/2015,,1.0,,1,The First Affiliated Hospital of Sun Yat-sen University,China,Laboratory Medicine,,,"Europe PubMed Central, PubMed Central, Public Library of Science",5.0,7.0,0.71,426.0,4945.0,318.0,,,
Z Zhang,"CC Jiang, A Croft, H-Y Tseng, ST Guo, L Jin, P Hersey, and XD Zhang",Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,"Oncogene (2014) 33, 2577�2588",10.1038/onc.2013.237,2013,,,,,1,Duplicated bands within same blot panel,1,11/17/2016,,1.0,,1,University of Newcastle,Australia,Cancer Research,,PhD,"Nature Publishing Group, Ovid Technologies, Inc.",16139.0,38.0,424.71,105.0,2.0,0.0,276-300,21.1,29.0
Zhao Huang,"Zhao Huang, Qiong Wen, Shu-Feng Zhou, Xue-Qing Yu",Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,Cytokine 42 (2008) 222�233,10.1016/j.cyto.2008.02.005,2008,,,1.0,,,Duplicated whole figure; very likely error,1,,,,1.0,1,Sun Yat-sen University,China,Nephrology,,,Elsevier Science,126.0,18.0,7.0,426.0,4945.0,318.0,301-350,33.1,17.8
Zhaojia Wu,"Zhaojia Wu, Siqi Shen, Zhiling Zhang, Weiwei Zhang, and Wei Xiao",Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,"Breast Cancer Research 2014, 16:R75",10.1186/bcr3692,2014,,,,1.0,,Overlapping microscopy images,1,3/28/2017,,1.0,,1,University of Saskatchewan,Canada,Microbiology and Immunology,65.0,,"BioMed Central, Europe PubMed Central, PubMed Central",14.0,12.0,1.17,174.0,7.0,10.0,,,
Zhenni Zhang,"Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li",Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0090318,2014,02February,,,1.0,,Mirrored blot panels representing different proteins,1,7/25/2016,1.0,,,1,Xi'an Jiao Tong University,China,Anesthesia,,,"Europe PubMed Central, PubMed Central, Public Library of Science",33.0,18.0,1.83,426.0,4945.0,318.0,,,
Zhiqiang Wang,"Zhiqiang Wang, Baofang Jin, Xindong Zhang, Yugui Cui, Dalin Sun, and Chao Gao",Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",10.1155/2014/640857,2014,,,,,1,Possibly manipulated FACS images,1,11/9/2015,,1.0,,1,Nanjing University of Chinese Medicine,China,Medicine,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",1623.0,24.0,67.62,426.0,4945.0,318.0,,,
Zhongpu Chen,"Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma",Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1371/journal.pone.0069134,2013,07July,,,1.0,,overlapping microscopy images,1,7/23/2014,,1.0,,1,Southeast University,China,Cardiology,,,"Europe PubMed Central, PubMed Central, Public Library of Science",20.0,8.0,2.5,426.0,4945.0,318.0,,,
Zhongyuan Wang,"Zhongyuan Wang, Yanping Wu, Haifeng Wang, Yangqing Zhang, Lin Mei, Xuexun Fang, Xudong Zhang, Fang Zhang, Hongbo Chen, Ying Liu, Yuyang Jiang, Shengnan Sun, Yi Zheng, Na Li, and Laiqiang Huang",Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,"PNAS | Published online December 23, 2013 | E89�E98",10.1073/pnas.1319190110,2014,,,,1.0,,,1,11/14/2016,,1.0,,1,Tsinghua University,China,Computer Science,,PhD,"Europe PubMed Central, HighWire, PubMed Central",132.0,20.0,6.6,426.0,4945.0,318.0,52,74.5,76.4
,"Z Zhang, X Liu, B Feng, N Liu, Q Wu, Y Han, Y Nie, K Wu, Y Shi, and D Fan","STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer","Oncogene (2014), 1�13",10.1038/onc.2014.404,2014,,,,1.0,,Overlapping microscopy images,1,11/17/2016,,1.0,,1,The Fourth Military Medical University,China,Cancer Biology,,,"Europe PubMed Central, Nature Publishing Group, Ovid Technologies, Inc., PubMed Central",,,,426.0,4945.0,318.0,,,
